TagName,OccurredOn,Date,Time,Value
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 00:00:00,2025-06-01,00:00:00,106.4
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 00:05:00,2025-06-01,00:05:00,105.88
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 00:10:00,2025-06-01,00:10:00,106.79
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 00:15:00,2025-06-01,00:15:00,107.15
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 00:20:00,2025-06-01,00:20:00,105.51
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 00:25:00,2025-06-01,00:25:00,108.76
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 00:30:00,2025-06-01,00:30:00,110.42
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 00:35:00,2025-06-01,00:35:00,109.29
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 00:40:00,2025-06-01,00:40:00,107.6
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 00:45:00,2025-06-01,00:45:00,110.9
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 00:50:00,2025-06-01,00:50:00,108.99
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 00:55:00,2025-06-01,00:55:00,108.87
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 01:00:00,2025-06-01,01:00:00,109.98
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 01:05:00,2025-06-01,01:05:00,109.62
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 01:10:00,2025-06-01,01:10:00,108.36
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 01:15:00,2025-06-01,01:15:00,110.03
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 01:20:00,2025-06-01,01:20:00,109.88
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 01:25:00,2025-06-01,01:25:00,108.4
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 01:30:00,2025-06-01,01:30:00,107.09
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 01:35:00,2025-06-01,01:35:00,106.39
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 01:40:00,2025-06-01,01:40:00,108.1
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 01:45:00,2025-06-01,01:45:00,107.93
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 01:50:00,2025-06-01,01:50:00,108.01
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 01:55:00,2025-06-01,01:55:00,107.71
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 02:00:00,2025-06-01,02:00:00,107.39
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 02:05:00,2025-06-01,02:05:00,105.92
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 02:10:00,2025-06-01,02:10:00,107.55
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 02:15:00,2025-06-01,02:15:00,109.1
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 02:20:00,2025-06-01,02:20:00,106.52
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 02:25:00,2025-06-01,02:25:00,108.36
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 02:30:00,2025-06-01,02:30:00,110.97
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 02:35:00,2025-06-01,02:35:00,110.87
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 02:40:00,2025-06-01,02:40:00,106.39
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 02:45:00,2025-06-01,02:45:00,107.77
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 02:50:00,2025-06-01,02:50:00,109.03
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 02:55:00,2025-06-01,02:55:00,106.94
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 03:00:00,2025-06-01,03:00:00,106.69
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 03:05:00,2025-06-01,03:05:00,107.62
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 03:10:00,2025-06-01,03:10:00,110.18
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 03:15:00,2025-06-01,03:15:00,107.66
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 03:20:00,2025-06-01,03:20:00,105.96
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 03:25:00,2025-06-01,03:25:00,109.27
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 03:30:00,2025-06-01,03:30:00,109.14
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 03:35:00,2025-06-01,03:35:00,105.26
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 03:40:00,2025-06-01,03:40:00,106.96
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 03:45:00,2025-06-01,03:45:00,107.19
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 03:50:00,2025-06-01,03:50:00,106.63
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 03:55:00,2025-06-01,03:55:00,104.4
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 04:00:00,2025-06-01,04:00:00,108.07
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 04:05:00,2025-06-01,04:05:00,108.82
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 04:10:00,2025-06-01,04:10:00,105.84
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 04:15:00,2025-06-01,04:15:00,108.76
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 04:20:00,2025-06-01,04:20:00,112.88
ELE-HV-B1-SWB_HLI_OUTG2_kW,2025-06-01 04:25:00,2025-06-01,04:25:00,112.83
