TagName,OccurredOn,Date,Time,Value
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 00:00:00,2025-06-01,00:00:00,22030.88
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 00:05:00,2025-06-01,00:05:00,22024.54
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 00:10:00,2025-06-01,00:10:00,22023.43
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 00:15:00,2025-06-01,00:15:00,21943.12
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 00:20:00,2025-06-01,00:20:00,21943.54
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 00:25:00,2025-06-01,00:25:00,21939.03
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 00:30:00,2025-06-01,00:30:00,21986.9
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 00:35:00,2025-06-01,00:35:00,21914.06
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 00:40:00,2025-06-01,00:40:00,21932.21
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 00:45:00,2025-06-01,00:45:00,21926.22
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 00:50:00,2025-06-01,00:50:00,21931.93
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 00:55:00,2025-06-01,00:55:00,21942.07
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 01:00:00,2025-06-01,01:00:00,21971.24
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 01:05:00,2025-06-01,01:05:00,21979.86
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 01:10:00,2025-06-01,01:10:00,21999.41
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 01:15:00,2025-06-01,01:15:00,21996.38
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 01:20:00,2025-06-01,01:20:00,22012.38
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 01:25:00,2025-06-01,01:25:00,22022.66
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 01:30:00,2025-06-01,01:30:00,22027.44
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 01:35:00,2025-06-01,01:35:00,22017.41
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 01:40:00,2025-06-01,01:40:00,22034.54
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 01:45:00,2025-06-01,01:45:00,22040.18
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 01:50:00,2025-06-01,01:50:00,22044.13
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 01:55:00,2025-06-01,01:55:00,22043.82
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 02:00:00,2025-06-01,02:00:00,22041.51
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 02:05:00,2025-06-01,02:05:00,22000.59
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 02:10:00,2025-06-01,02:10:00,22000.44
ELE-HV-B1-SWB_HLI_OUTG6_L23_V,2025-06-01 02:15:00,2025-06-01,02:15:00,22009.9
