TagName,OccurredOn,Date,Time,Value
ELE-HV-B1-SWB_HLI_OUTG7_kWH,2025-06-01 00:00:00,2025-06-01,00:00:00,588391.0
ELE-HV-B1-SWB_HLI_OUTG7_kWH,2025-06-01 00:05:00,2025-06-01,00:05:00,588404.05
ELE-HV-B1-SWB_HLI_OUTG7_kWH,2025-06-01 00:10:00,2025-06-01,00:10:00,588416.32
ELE-HV-B1-SWB_HLI_OUTG7_kWH,2025-06-01 00:15:00,2025-06-01,00:15:00,588426.28
ELE-HV-B1-SWB_HLI_OUTG7_kWH,2025-06-01 00:20:00,2025-06-01,00:20:00,588437.63
ELE-HV-B1-SWB_HLI_OUTG7_kWH,2025-06-01 00:25:00,2025-06-01,00:25:00,588450.39
ELE-HV-B1-SWB_HLI_OUTG7_kWH,2025-06-01 00:30:00,2025-06-01,00:30:00,588462.85
ELE-HV-B1-SWB_HLI_OUTG7_kWH,2025-06-01 00:35:00,2025-06-01,00:35:00,588471.77
ELE-HV-B1-SWB_HLI_OUTG7_kWH,2025-06-01 00:40:00,2025-06-01,00:40:00,588484.42
ELE-HV-B1-SWB_HLI_OUTG7_kWH,2025-06-01 00:45:00,2025-06-01,00:45:00,588498.21
ELE-HV-B1-SWB_HLI_OUTG7_kWH,2025-06-01 00:50:00,2025-06-01,00:50:00,588508.1
ELE-HV-B1-SWB_HLI_OUTG7_kWH,2025-06-01 00:55:00,2025-06-01,00:55:00,588518.14
ELE-HV-B1-SWB_HLI_OUTG7_kWH,2025-06-01 01:00:00,2025-06-01,01:00:00,588530.46
ELE-HV-B1-SWB_HLI_OUTG7_kWH,2025-06-01 01:05:00,2025-06-01,01:05:00,588544.31
ELE-HV-B1-SWB_HLI_OUTG7_kWH,2025-06-01 01:10:00,2025-06-01,01:10:00,588553.42
ELE-HV-B1-SWB_HLI_OUTG7_kWH,2025-06-01 01:15:00,2025-06-01,01:15:00,588563.26
ELE-HV-B1-SWB_HLI_OUTG7_kWH,2025-06-01 01:20:00,2025-06-01,01:20:00,588575.27
ELE-HV-B1-SWB_HLI_OUTG7_kWH,2025-06-01 01:25:00,2025-06-01,01:25:00,588589.21
ELE-HV-B1-SWB_HLI_OUTG7_kWH,2025-06-01 01:30:00,2025-06-01,01:30:00,588600.59
ELE-HV-B1-SWB_HLI_OUTG7_kWH,2025-06-01 01:35:00,2025-06-01,01:35:00,588608.22
ELE-HV-B1-SWB_HLI_OUTG7_kWH,2025-06-01 01:40:00,2025-06-01,01:40:00,588622.21
ELE-HV-B1-SWB_HLI_OUTG7_kWH,2025-06-01 01:45:00,2025-06-01,01:45:00,588633.71
