TagName,OccurredOn,Date,Time,Value
ELE-HV-B1-SWB_HLI_INC2_kW,2025-06-01 00:00:00,2025-06-01,00:00:00,166.16
ELE-HV-B1-SWB_HLI_INC2_kW,2025-06-01 00:05:00,2025-06-01,00:05:00,166.11
ELE-HV-B1-SWB_HLI_INC2_kW,2025-06-01 00:10:00,2025-06-01,00:10:00,168.1
ELE-HV-B1-SWB_HLI_INC2_kW,2025-06-01 00:15:00,2025-06-01,00:15:00,167.5
ELE-HV-B1-SWB_HLI_INC2_kW,2025-06-01 00:20:00,2025-06-01,00:20:00,164.69
ELE-HV-B1-SWB_HLI_INC2_kW,2025-06-01 00:25:00,2025-06-01,00:25:00,169.29
ELE-HV-B1-SWB_HLI_INC2_kW,2025-06-01 00:30:00,2025-06-01,00:30:00,170.95
ELE-HV-B1-SWB_HLI_INC2_kW,2025-06-01 00:35:00,2025-06-01,00:35:00,169.22
ELE-HV-B1-SWB_HLI_INC2_kW,2025-06-01 00:40:00,2025-06-01,00:40:00,167.82
ELE-HV-B1-SWB_HLI_INC2_kW,2025-06-01 00:45:00,2025-06-01,00:45:00,170.64
ELE-HV-B1-SWB_HLI_INC2_kW,2025-06-01 00:50:00,2025-06-01,00:50:00,168.48
ELE-HV-B1-SWB_HLI_INC2_kW,2025-06-01 00:55:00,2025-06-01,00:55:00,168.64
ELE-HV-B1-SWB_HLI_INC2_kW,2025-06-01 01:00:00,2025-06-01,01:00:00,169.74
ELE-HV-B1-SWB_HLI_INC2_kW,2025-06-01 01:05:00,2025-06-01,01:05:00,169.79
ELE-HV-B1-SWB_HLI_INC2_kW,2025-06-01 01:10:00,2025-06-01,01:10:00,168.12
ELE-HV-B1-SWB_HLI_INC2_kW,2025-06-01 01:15:00,2025-06-01,01:15:00,170.29
ELE-HV-B1-SWB_HLI_INC2_kW,2025-06-01 01:20:00,2025-06-01,01:20:00,169.4
ELE-HV-B1-SWB_HLI_INC2_kW,2025-06-01 01:25:00,2025-06-01,01:25:00,168.35
ELE-HV-B1-SWB_HLI_INC2_kW,2025-06-01 01:30:00,2025-06-01,01:30:00,167.05
