TagName,OccurredOn,Date,Time,Value
ELE-HV-B1-SWB_HLI_INC2_kWH,2025-06-01 00:00:00,2025-06-01,00:00:00,61926.13
ELE-HV-B1-SWB_HLI_INC2_kWH,2025-06-01 00:05:00,2025-06-01,00:05:00,61938.54
ELE-HV-B1-SWB_HLI_INC2_kWH,2025-06-01 00:10:00,2025-06-01,00:10:00,61952.94
ELE-HV-B1-SWB_HLI_INC2_kWH,2025-06-01 00:15:00,2025-06-01,00:15:00,61968.08
ELE-HV-B1-SWB_HLI_INC2_kWH,2025-06-01 00:20:00,2025-06-01,00:20:00,61981.69
ELE-HV-B1-SWB_HLI_INC2_kWH,2025-06-01 00:25:00,2025-06-01,00:25:00,61993.74
ELE-HV-B1-SWB_HLI_INC2_kWH,2025-06-01 00:30:00,2025-06-01,00:30:00,62009.11
ELE-HV-B1-SWB_HLI_INC2_kWH,2025-06-01 00:35:00,2025-06-01,00:35:00,62022.79
ELE-HV-B1-SWB_HLI_INC2_kWH,2025-06-01 00:40:00,2025-06-01,00:40:00,62038.53
ELE-HV-B1-SWB_HLI_INC2_kWH,2025-06-01 00:45:00,2025-06-01,00:45:00,62051.33
ELE-HV-B1-SWB_HLI_INC2_kWH,2025-06-01 00:50:00,2025-06-01,00:50:00,62064.43
ELE-HV-B1-SWB_HLI_INC2_kWH,2025-06-01 00:55:00,2025-06-01,00:55:00,62080.06
ELE-HV-B1-SWB_HLI_INC2_kWH,2025-06-01 01:00:00,2025-06-01,01:00:00,62094.18
ELE-HV-B1-SWB_HLI_INC2_kWH,2025-06-01 01:05:00,2025-06-01,01:05:00,62108.03
ELE-HV-B1-SWB_HLI_INC2_kWH,2025-06-01 01:10:00,2025-06-01,01:10:00,62121.57
ELE-HV-B1-SWB_HLI_INC2_kWH,2025-06-01 01:15:00,2025-06-01,01:15:00,62136.54
ELE-HV-B1-SWB_HLI_INC2_kWH,2025-06-01 01:20:00,2025-06-01,01:20:00,62149.16
ELE-HV-B1-SWB_HLI_INC2_kWH,2025-06-01 01:25:00,2025-06-01,01:25:00,62163.48
ELE-HV-B1-SWB_HLI_INC2_kWH,2025-06-01 01:30:00,2025-06-01,01:30:00,62179.79
