OccurredOn,Date,Time,ELE-HV-B1-SWB_HLI_INC1_Hz,ELE-HV-B1-SWB_HLI_INC1_kW,ELE-HV-B1-SWB_HLI_INC1_kWH,ELE-HV-B1-SWB_HLI_INC1_L1_A,ELE-HV-B1-SWB_HLI_INC1_L12_V,ELE-HV-B1-SWB_HLI_INC1_L2_A,ELE-HV-B1-SWB_HLI_INC1_L23_V,ELE-HV-B1-SWB_HLI_INC1_L3_A,ELE-HV-B1-SWB_HLI_INC1_L31_V,ELE-HV-B1-SWB_HLI_INC1_PF,ELE-HV-B1-SWB_HLI_INC2_Hz,ELE-HV-B1-SWB_HLI_INC2_kW,ELE-HV-B1-SWB_HLI_INC2_kWH,ELE-HV-B1-SWB_HLI_INC2_L1_A,ELE-HV-B1-SWB_HLI_INC2_L12_V,ELE-HV-B1-SWB_HLI_INC2_L2_A,ELE-HV-B1-SWB_HLI_INC2_L23_V,ELE-HV-B1-SWB_HLI_INC2_L3_A,ELE-HV-B1-SWB_HLI_INC2_L31_V,ELE-HV-B1-SWB_HLI_INC2_PF
2025-06-01 00:00:00,2025-06-01,00:00:00,50.02,402.17,81253.69,11.5,22224.8,10.89,22216.76,10.43,22326.05,0.95,50.02,166.16,61926.13,5.01,22018.1,4.95,22030.15,4.52,22108.88,0.91
2025-06-01 00:05:00,2025-06-01,00:05:00,50.04,409.97,81284.35,11.68,22246.72,11.17,22240.0,10.66,22349.03,0.95,50.04,166.11,61938.54,4.99,22010.23,5.01,22021.77,4.52,22100.59,0.91
2025-06-01 00:10:00,2025-06-01,00:10:00,50.04,334.71,81316.27,9.71,22234.44,9.37,22228.41,8.83,22334.43,0.93,50.04,168.1,61952.94,5.05,22011.05,5.04,22024.39,4.59,22100.47,0.91
2025-06-01 00:15:00,2025-06-01,00:15:00,50.01,343.82,81346.97,10.25,22181.63,9.89,22174.07,9.18,22279.64,0.93,50.01,167.5,61968.08,5.05,21930.49,5.05,21939.6,4.54,22022.76,0.91
2025-06-01 00:20:00,2025-06-01,00:20:00,50.01,400.44,81376.84,11.47,22174.84,11.02,22165.16,10.37,22274.09,0.95,50.01,164.69,61981.69,5.03,21929.88,4.93,21939.5,4.51,22017.39,0.9
2025-06-01 00:25:00,2025-06-01,00:25:00,50.0,391.09,81405.91,11.18,22193.16,10.8,22184.84,10.19,22293.9,0.95,50.0,169.29,61993.74,5.12,21923.9,5.05,21933.87,4.62,22016.05,0.91
2025-06-01 00:30:00,2025-06-01,00:30:00,50.03,323.14,81438.28,9.55,22213.37,9.23,22206.44,8.68,22316.73,0.92,50.02,170.95,62009.11,5.16,21976.79,5.05,21986.41,4.65,22067.38,0.92
2025-06-01 00:35:00,2025-06-01,00:35:00,49.98,325.85,81464.34,9.67,22159.99,9.34,22152.77,8.75,22261.47,0.92,49.97,169.22,62022.79,5.11,21901.38,5.02,21911.92,4.63,21992.64,0.91
2025-06-01 00:40:00,2025-06-01,00:40:00,50.02,382.33,81496.8,10.99,22170.14,10.53,22161.24,9.97,22270.3,0.94,50.01,167.82,62038.53,5.07,21922.23,5.0,21931.81,4.65,22015.07,0.91
2025-06-01 00:45:00,2025-06-01,00:45:00,50.01,375.23,81527.72,10.87,22168.48,10.41,22163.01,9.85,22265.86,0.94,50.02,170.64,62051.33,5.16,21916.54,5.04,21926.78,4.68,22007.28,0.91
2025-06-01 00:50:00,2025-06-01,00:50:00,50.0,322.45,81553.62,9.56,22192.22,9.24,22183.59,8.63,22286.96,0.92,50.0,168.48,62064.43,5.13,21916.67,5.02,21926.28,4.62,22006.58,0.91
2025-06-01 00:55:00,2025-06-01,00:55:00,50.01,323.07,81583.68,9.6,22181.59,9.27,22171.78,8.62,22277.68,0.92,50.0,168.64,62080.06,5.14,21930.31,5.0,21938.63,4.65,22016.85,0.91
2025-06-01 01:00:00,2025-06-01,01:00:00,50.01,398.33,81613.88,11.32,22193.03,10.91,22186.52,10.31,22287.76,0.95,50.01,169.74,62094.18,5.09,21960.13,5.09,21968.82,4.62,22045.99,0.91
2025-06-01 01:05:00,2025-06-01,01:05:00,50.03,370.58,81645.44,10.6,22217.61,10.2,22213.18,9.54,22313.94,0.95,50.03,169.79,62108.03,5.11,21977.31,5.06,21985.8,4.63,22061.2,0.91
2025-06-01 01:10:00,2025-06-01,01:10:00,50.03,333.78,81672.84,9.65,22219.98,9.4,22215.1,8.69,22316.23,0.93,50.03,168.12,62121.57,5.06,21988.77,5.01,21998.88,4.58,22072.73,0.91
2025-06-01 01:15:00,2025-06-01,01:15:00,50.01,353.73,81702.43,10.07,22217.8,9.89,22213.87,9.21,22311.49,0.94,50.01,170.29,62136.54,5.11,21985.92,5.07,21996.41,4.6,22073.11,0.92
2025-06-01 01:20:00,2025-06-01,01:20:00,50.02,397.26,81730.79,11.19,22236.13,10.92,22233.1,10.32,22329.62,0.95,50.02,169.4,62149.16,5.13,21996.41,5.0,22006.88,4.59,22083.45,0.91
2025-06-01 01:25:00,2025-06-01,01:25:00,50.03,359.77,81762.89,10.33,22254.32,9.97,22248.74,9.4,22349.78,0.93,50.03,168.35,62163.48,5.05,22010.93,5.04,22021.16,4.56,22097.65,0.91
2025-06-01 01:30:00,2025-06-01,01:30:00,50.04,324.81,81795.25,9.46,22257.75,9.23,22251.2,8.63,22352.82,0.93,50.04,167.05,62179.79,5.06,22016.57,4.98,22025.97,4.56,22100.51,0.91
2025-06-01 01:35:00,2025-06-01,01:35:00,50.03,334.53,81817.49,9.73,22263.74,9.46,22255.63,8.98,22356.8,0.94,50.03,164.62,62191.25,5.02,22008.6,4.88,22018.04,4.53,22093.79,0.91
2025-06-01 01:40:00,2025-06-01,01:40:00,50.04,390.82,81849.91,11.01,22275.12,10.63,22267.47,10.19,22369.03,0.95,50.04,165.86,62205.38,5.06,22023.82,4.94,22033.69,4.52,22109.08,0.91
2025-06-01 01:45:00,2025-06-01,01:45:00,50.04,353.77,81876.48,10.09,22280.09,9.78,22274.07,9.26,22375.32,0.93,50.04,165.17,62217.18,5.01,22031.54,4.9,22042.27,4.57,22116.68,0.91
2025-06-01 01:50:00,2025-06-01,01:50:00,50.05,320.28,81911.51,9.23,22285.04,9.0,22280.71,8.44,22373.67,0.93,50.05,167.19,62235.03,5.06,22038.29,4.93,22048.63,4.58,22117.24,0.91
2025-06-01 01:55:00,2025-06-01,01:55:00,50.0,366.59,81937.56,10.36,22278.3,10.07,22273.43,9.51,22369.92,0.95,50.0,167.86,62248.26,5.05,22036.36,4.99,22045.91,4.57,22120.93,0.91
2025-06-01 02:00:00,2025-06-01,02:00:00,49.97,374.25,81969.51,10.52,22268.31,10.23,22263.65,9.67,22359.98,0.95,49.97,170.13,62262.39,5.18,22028.41,5.02,22038.14,4.63,22114.16,0.91
