TagName,OccurredOn,Date,Time,Value
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 00:00:00,2025-06-01,00:00:00,35.88
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 00:05:00,2025-06-01,00:05:00,35.51
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 00:10:00,2025-06-01,00:10:00,35.42
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 00:15:00,2025-06-01,00:15:00,34.88
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 00:20:00,2025-06-01,00:20:00,35.56
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 00:25:00,2025-06-01,00:25:00,35.11
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 00:30:00,2025-06-01,00:30:00,34.79
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 00:35:00,2025-06-01,00:35:00,35.23
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 00:40:00,2025-06-01,00:40:00,35.7
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 00:45:00,2025-06-01,00:45:00,34.78
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 00:50:00,2025-06-01,00:50:00,35.14
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 00:55:00,2025-06-01,00:55:00,35.88
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 01:00:00,2025-06-01,01:00:00,35.31
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 01:05:00,2025-06-01,01:05:00,35.21
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 01:10:00,2025-06-01,01:10:00,35.36
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 01:15:00,2025-06-01,01:15:00,35.24
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 01:20:00,2025-06-01,01:20:00,34.8
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 01:25:00,2025-06-01,01:25:00,34.76
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 01:30:00,2025-06-01,01:30:00,33.3
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 01:35:00,2025-06-01,01:35:00,32.62
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 01:40:00,2025-06-01,01:40:00,33.71
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 01:45:00,2025-06-01,01:45:00,33.54
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 01:50:00,2025-06-01,01:50:00,32.52
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 01:55:00,2025-06-01,01:55:00,32.44
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 02:00:00,2025-06-01,02:00:00,33.76
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 02:05:00,2025-06-01,02:05:00,33.02
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 02:10:00,2025-06-01,02:10:00,32.44
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 02:15:00,2025-06-01,02:15:00,33.01
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 02:20:00,2025-06-01,02:20:00,33.28
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 02:25:00,2025-06-01,02:25:00,35.99
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 02:30:00,2025-06-01,02:30:00,31.85
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 02:35:00,2025-06-01,02:35:00,31.85
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 02:40:00,2025-06-01,02:40:00,32.8
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 02:45:00,2025-06-01,02:45:00,32.85
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 02:50:00,2025-06-01,02:50:00,33.48
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 02:55:00,2025-06-01,02:55:00,37.07
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 03:00:00,2025-06-01,03:00:00,35.83
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 03:05:00,2025-06-01,03:05:00,35.81
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 03:10:00,2025-06-01,03:10:00,33.74
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 03:15:00,2025-06-01,03:15:00,34.57
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 03:20:00,2025-06-01,03:20:00,33.98
ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,2025-06-01 03:25:00,2025-06-01,03:25:00,33.5
