TagName,OccurredOn,Date,Time,Value
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 00:00:00,2025-06-01,00:00:00,29.87
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 00:05:00,2025-06-01,00:05:00,40.35
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 00:10:00,2025-06-01,00:10:00,29.39
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 00:15:00,2025-06-01,00:15:00,38.07
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 00:20:00,2025-06-01,00:20:00,27.92
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 00:25:00,2025-06-01,00:25:00,36.96
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 00:30:00,2025-06-01,00:30:00,27.8
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 00:35:00,2025-06-01,00:35:00,23.12
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 00:40:00,2025-06-01,00:40:00,27.42
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 00:45:00,2025-06-01,00:45:00,27.35
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 00:50:00,2025-06-01,00:50:00,27.52
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 00:55:00,2025-06-01,00:55:00,27.13
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 01:00:00,2025-06-01,01:00:00,26.91
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 01:05:00,2025-06-01,01:05:00,26.58
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 01:10:00,2025-06-01,01:10:00,26.31
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 01:15:00,2025-06-01,01:15:00,26.09
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 01:20:00,2025-06-01,01:20:00,27.08
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 01:25:00,2025-06-01,01:25:00,26.99
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 01:30:00,2025-06-01,01:30:00,26.95
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 01:35:00,2025-06-01,01:35:00,26.96
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 01:40:00,2025-06-01,01:40:00,26.78
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 01:45:00,2025-06-01,01:45:00,27.18
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 01:50:00,2025-06-01,01:50:00,26.39
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 01:55:00,2025-06-01,01:55:00,26.24
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 02:00:00,2025-06-01,02:00:00,26.48
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 02:05:00,2025-06-01,02:05:00,26.56
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 02:10:00,2025-06-01,02:10:00,26.41
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 02:15:00,2025-06-01,02:15:00,26.35
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 02:20:00,2025-06-01,02:20:00,26.33
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 02:25:00,2025-06-01,02:25:00,26.61
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 02:30:00,2025-06-01,02:30:00,26.22
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 02:35:00,2025-06-01,02:35:00,26.33
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 02:40:00,2025-06-01,02:40:00,26.5
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 02:45:00,2025-06-01,02:45:00,26.39
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 02:50:00,2025-06-01,02:50:00,26.5
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 02:55:00,2025-06-01,02:55:00,26.43
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 03:00:00,2025-06-01,03:00:00,26.4
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 03:05:00,2025-06-01,03:05:00,26.59
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 03:10:00,2025-06-01,03:10:00,26.47
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 03:15:00,2025-06-01,03:15:00,26.25
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 03:20:00,2025-06-01,03:20:00,26.46
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 03:25:00,2025-06-01,03:25:00,26.41
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 03:30:00,2025-06-01,03:30:00,26.33
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 03:35:00,2025-06-01,03:35:00,26.34
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 03:40:00,2025-06-01,03:40:00,26.48
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 03:45:00,2025-06-01,03:45:00,26.49
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 03:50:00,2025-06-01,03:50:00,26.45
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 03:55:00,2025-06-01,03:55:00,26.49
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 04:00:00,2025-06-01,04:00:00,26.51
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 04:05:00,2025-06-01,04:05:00,26.56
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 04:10:00,2025-06-01,04:10:00,26.52
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 04:15:00,2025-06-01,04:15:00,28.38
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 04:20:00,2025-06-01,04:20:00,26.6
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 04:25:00,2025-06-01,04:25:00,26.67
ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,2025-06-01 04:30:00,2025-06-01,04:30:00,26.6
