TagName,OccurredOn,Date,Time,Value
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 00:00:00,2025-06-01,00:00:00,414283.35
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 00:05:00,2025-06-01,00:05:00,414286.34
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 00:10:00,2025-06-01,00:10:00,414289.8
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 00:15:00,2025-06-01,00:15:00,414292.97
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 00:20:00,2025-06-01,00:20:00,414295.5
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 00:25:00,2025-06-01,00:25:00,414297.75
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 00:30:00,2025-06-01,00:30:00,414300.34
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 00:35:00,2025-06-01,00:35:00,414302.33
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 00:40:00,2025-06-01,00:40:00,414304.78
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 00:45:00,2025-06-01,00:45:00,414307.19
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 00:50:00,2025-06-01,00:50:00,414309.42
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 00:55:00,2025-06-01,00:55:00,414311.92
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 01:00:00,2025-06-01,01:00:00,414313.91
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 01:05:00,2025-06-01,01:05:00,414316.15
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 01:10:00,2025-06-01,01:10:00,414318.23
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 01:15:00,2025-06-01,01:15:00,414320.62
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 01:20:00,2025-06-01,01:20:00,414323.19
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 01:25:00,2025-06-01,01:25:00,414325.43
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 01:30:00,2025-06-01,01:30:00,414327.72
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 01:35:00,2025-06-01,01:35:00,414329.91
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 01:40:00,2025-06-01,01:40:00,414332.15
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 01:45:00,2025-06-01,01:45:00,414334.07
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 01:50:00,2025-06-01,01:50:00,414336.62
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 01:55:00,2025-06-01,01:55:00,414338.71
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 02:00:00,2025-06-01,02:00:00,414340.95
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 02:05:00,2025-06-01,02:05:00,414343.35
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 02:10:00,2025-06-01,02:10:00,414345.42
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 02:15:00,2025-06-01,02:15:00,414347.4
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 02:20:00,2025-06-01,02:20:00,414350.07
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 02:25:00,2025-06-01,02:25:00,414351.98
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 02:30:00,2025-06-01,02:30:00,414354.23
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 02:35:00,2025-06-01,02:35:00,414356.47
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 02:40:00,2025-06-01,02:40:00,414358.58
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 02:45:00,2025-06-01,02:45:00,414360.76
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 02:50:00,2025-06-01,02:50:00,414363.03
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 02:55:00,2025-06-01,02:55:00,414365.11
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 03:00:00,2025-06-01,03:00:00,414367.45
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 03:05:00,2025-06-01,03:05:00,414369.58
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 03:10:00,2025-06-01,03:10:00,414371.78
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 03:15:00,2025-06-01,03:15:00,414374.07
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 03:20:00,2025-06-01,03:20:00,414376.14
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 03:25:00,2025-06-01,03:25:00,414378.23
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 03:30:00,2025-06-01,03:30:00,414380.47
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 03:35:00,2025-06-01,03:35:00,414382.7
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 03:40:00,2025-06-01,03:40:00,414385.1
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 03:45:00,2025-06-01,03:45:00,414387.35
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 03:50:00,2025-06-01,03:50:00,414389.43
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 03:55:00,2025-06-01,03:55:00,414391.66
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 04:00:00,2025-06-01,04:00:00,414393.96
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 04:05:00,2025-06-01,04:05:00,414396.02
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 04:10:00,2025-06-01,04:10:00,414398.23
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 04:15:00,2025-06-01,04:15:00,414400.46
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 04:20:00,2025-06-01,04:20:00,414402.67
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 04:25:00,2025-06-01,04:25:00,414404.79
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 04:30:00,2025-06-01,04:30:00,414407.18
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 04:35:00,2025-06-01,04:35:00,414409.26
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 04:40:00,2025-06-01,04:40:00,414411.56
ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH,2025-06-01 04:45:00,2025-06-01,04:45:00,414413.59
