TagName,OccurredOn,Date,Time,Value
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 00:00:00,2025-06-01,00:00:00,924151.75
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 00:05:00,2025-06-01,00:05:00,924155.35
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 00:10:00,2025-06-01,00:10:00,924158.91
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 00:15:00,2025-06-01,00:15:00,924162.28
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 00:20:00,2025-06-01,00:20:00,924166.37
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 00:25:00,2025-06-01,00:25:00,924169.69
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 00:30:00,2025-06-01,00:30:00,924173.58
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 00:35:00,2025-06-01,00:35:00,924177.14
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 00:40:00,2025-06-01,00:40:00,924181.2
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 00:45:00,2025-06-01,00:45:00,924184.31
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 00:50:00,2025-06-01,00:50:00,924188.14
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 00:55:00,2025-06-01,00:55:00,924192.23
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 01:00:00,2025-06-01,01:00:00,924195.68
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 01:05:00,2025-06-01,01:05:00,924199.92
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 01:10:00,2025-06-01,01:10:00,924203.61
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 01:15:00,2025-06-01,01:15:00,924206.91
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 01:20:00,2025-06-01,01:20:00,924210.86
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 01:25:00,2025-06-01,01:25:00,924214.17
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 01:30:00,2025-06-01,01:30:00,924218.06
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 01:35:00,2025-06-01,01:35:00,924221.5
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 01:40:00,2025-06-01,01:40:00,924224.93
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 01:45:00,2025-06-01,01:45:00,924228.45
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 01:50:00,2025-06-01,01:50:00,924231.98
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 01:55:00,2025-06-01,01:55:00,924235.5
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 02:00:00,2025-06-01,02:00:00,924238.9
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 02:05:00,2025-06-01,02:05:00,924242.41
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 02:10:00,2025-06-01,02:10:00,924245.84
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 02:15:00,2025-06-01,02:15:00,924248.69
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 02:20:00,2025-06-01,02:20:00,924252.26
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 02:25:00,2025-06-01,02:25:00,924256.23
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 02:30:00,2025-06-01,02:30:00,924259.71
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 02:35:00,2025-06-01,02:35:00,924263.28
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 02:40:00,2025-06-01,02:40:00,924266.65
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 02:45:00,2025-06-01,02:45:00,924270.37
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 02:50:00,2025-06-01,02:50:00,924273.89
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 02:55:00,2025-06-01,02:55:00,924277.57
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 03:00:00,2025-06-01,03:00:00,924280.68
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 03:05:00,2025-06-01,03:05:00,924284.9
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 03:10:00,2025-06-01,03:10:00,924288.5
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 03:15:00,2025-06-01,03:15:00,924291.9
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 03:20:00,2025-06-01,03:20:00,924295.66
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 03:25:00,2025-06-01,03:25:00,924299.18
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 03:30:00,2025-06-01,03:30:00,924302.47
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 03:35:00,2025-06-01,03:35:00,924306.42
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 03:40:00,2025-06-01,03:40:00,924309.87
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 03:45:00,2025-06-01,03:45:00,924313.34
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 03:50:00,2025-06-01,03:50:00,924317.4
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 03:55:00,2025-06-01,03:55:00,924320.45
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 04:00:00,2025-06-01,04:00:00,924324.03
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 04:05:00,2025-06-01,04:05:00,924327.45
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 04:10:00,2025-06-01,04:10:00,924331.35
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 04:15:00,2025-06-01,04:15:00,924334.6
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 04:20:00,2025-06-01,04:20:00,924338.67
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 04:25:00,2025-06-01,04:25:00,924341.95
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 04:30:00,2025-06-01,04:30:00,924345.45
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 04:35:00,2025-06-01,04:35:00,924348.49
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 04:40:00,2025-06-01,04:40:00,924351.97
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 04:45:00,2025-06-01,04:45:00,924355.45
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 04:50:00,2025-06-01,04:50:00,924359.46
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 04:55:00,2025-06-01,04:55:00,924362.73
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 05:00:00,2025-06-01,05:00:00,924366.15
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 05:05:00,2025-06-01,05:05:00,924369.68
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 05:10:00,2025-06-01,05:10:00,924372.71
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 05:15:00,2025-06-01,05:15:00,924376.85
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 05:20:00,2025-06-01,05:20:00,924380.26
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 05:25:00,2025-06-01,05:25:00,924383.88
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 05:30:00,2025-06-01,05:30:00,924387.17
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 05:35:00,2025-06-01,05:35:00,924390.65
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 05:40:00,2025-06-01,05:40:00,924394.47
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 05:45:00,2025-06-01,05:45:00,924397.51
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 05:50:00,2025-06-01,05:50:00,924401.05
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 05:55:00,2025-06-01,05:55:00,924404.34
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 06:00:00,2025-06-01,06:00:00,924407.93
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 06:05:00,2025-06-01,06:05:00,924411.81
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 06:10:00,2025-06-01,06:10:00,924415.23
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 06:15:00,2025-06-01,06:15:00,924418.8
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 06:20:00,2025-06-01,06:20:00,924422.09
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 06:25:00,2025-06-01,06:25:00,924425.52
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 06:30:00,2025-06-01,06:30:00,924428.98
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 06:35:00,2025-06-01,06:35:00,924432.39
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 06:40:00,2025-06-01,06:40:00,924436.11
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 06:45:00,2025-06-01,06:45:00,924440.22
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 06:50:00,2025-06-01,06:50:00,924443.91
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 06:55:00,2025-06-01,06:55:00,924447.61
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 07:00:00,2025-06-01,07:00:00,924451.11
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 07:05:00,2025-06-01,07:05:00,924454.66
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 07:10:00,2025-06-01,07:10:00,924458.28
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 07:15:00,2025-06-01,07:15:00,924462.17
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 07:20:00,2025-06-01,07:20:00,924465.66
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 07:25:00,2025-06-01,07:25:00,924469.16
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 07:30:00,2025-06-01,07:30:00,924474.62
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 07:35:00,2025-06-01,07:35:00,924480.62
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 07:40:00,2025-06-01,07:40:00,924486.39
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 07:45:00,2025-06-01,07:45:00,924492.13
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 07:50:00,2025-06-01,07:50:00,924497.89
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 07:55:00,2025-06-01,07:55:00,924503.65
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 08:00:00,2025-06-01,08:00:00,924509.42
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 08:05:00,2025-06-01,08:05:00,924515.18
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 08:10:00,2025-06-01,08:10:00,924520.96
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 08:15:00,2025-06-01,08:15:00,924526.36
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 08:20:00,2025-06-01,08:20:00,924533.1
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 08:25:00,2025-06-01,08:25:00,924538.59
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 08:30:00,2025-06-01,08:30:00,924544.73
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 08:35:00,2025-06-01,08:35:00,924551.03
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 08:40:00,2025-06-01,08:40:00,924557.27
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 08:45:00,2025-06-01,08:45:00,924562.53
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 08:50:00,2025-06-01,08:50:00,924566.86
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 08:55:00,2025-06-01,08:55:00,924569.96
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 09:00:00,2025-06-01,09:00:00,924573.39
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 09:05:00,2025-06-01,09:05:00,924577.57
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 09:10:00,2025-06-01,09:10:00,924581.61
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 09:15:00,2025-06-01,09:15:00,924586.02
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 09:20:00,2025-06-01,09:20:00,924589.88
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 09:25:00,2025-06-01,09:25:00,924593.77
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 09:30:00,2025-06-01,09:30:00,924598.27
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 09:35:00,2025-06-01,09:35:00,924602.22
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 09:40:00,2025-06-01,09:40:00,924606.06
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 09:45:00,2025-06-01,09:45:00,924609.47
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 09:50:00,2025-06-01,09:50:00,924613.75
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 09:55:00,2025-06-01,09:55:00,924617.59
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 10:00:00,2025-06-01,10:00:00,924620.89
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 10:05:00,2025-06-01,10:05:00,924624.49
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 10:10:00,2025-06-01,10:10:00,924628.35
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 10:15:00,2025-06-01,10:15:00,924632.08
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 10:20:00,2025-06-01,10:20:00,924635.81
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 10:25:00,2025-06-01,10:25:00,924639.96
ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,2025-06-01 10:30:00,2025-06-01,10:30:00,924643.17
