TagName,OccurredOn,Date,Time,Value
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 00:00:00,2025-06-01,00:00:00,58.86
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 00:05:00,2025-06-01,00:05:00,59.99
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 00:10:00,2025-06-01,00:10:00,55.96
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 00:15:00,2025-06-01,00:15:00,58.52
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 00:20:00,2025-06-01,00:20:00,56.46
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 00:25:00,2025-06-01,00:25:00,55.41
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 00:30:00,2025-06-01,00:30:00,54.55
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 00:35:00,2025-06-01,00:35:00,54.91
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 00:40:00,2025-06-01,00:40:00,54.74
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 00:45:00,2025-06-01,00:45:00,53.84
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 00:50:00,2025-06-01,00:50:00,54.06
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 00:55:00,2025-06-01,00:55:00,53.67
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 01:00:00,2025-06-01,01:00:00,54.72
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 01:05:00,2025-06-01,01:05:00,53.9
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 01:10:00,2025-06-01,01:10:00,53.76
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 01:15:00,2025-06-01,01:15:00,53.84
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 01:20:00,2025-06-01,01:20:00,54.22
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 01:25:00,2025-06-01,01:25:00,52.99
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 01:30:00,2025-06-01,01:30:00,55.38
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 01:35:00,2025-06-01,01:35:00,54.03
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 01:40:00,2025-06-01,01:40:00,53.38
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 01:45:00,2025-06-01,01:45:00,53.96
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 01:50:00,2025-06-01,01:50:00,53.8
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 01:55:00,2025-06-01,01:55:00,52.95
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 02:00:00,2025-06-01,02:00:00,53.93
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 02:05:00,2025-06-01,02:05:00,54.72
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 02:10:00,2025-06-01,02:10:00,55.5
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 02:15:00,2025-06-01,02:15:00,56.87
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 02:20:00,2025-06-01,02:20:00,54.44
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 02:25:00,2025-06-01,02:25:00,52.82
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 02:30:00,2025-06-01,02:30:00,52.45
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 02:35:00,2025-06-01,02:35:00,53.2
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 02:40:00,2025-06-01,02:40:00,53.44
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 02:45:00,2025-06-01,02:45:00,53.0
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 02:50:00,2025-06-01,02:50:00,52.13
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 02:55:00,2025-06-01,02:55:00,52.72
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 03:00:00,2025-06-01,03:00:00,52.09
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 03:05:00,2025-06-01,03:05:00,53.15
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 03:10:00,2025-06-01,03:10:00,55.41
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 03:15:00,2025-06-01,03:15:00,54.3
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 03:20:00,2025-06-01,03:20:00,52.48
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 03:25:00,2025-06-01,03:25:00,52.5
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 03:30:00,2025-06-01,03:30:00,51.92
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 03:35:00,2025-06-01,03:35:00,53.29
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 03:40:00,2025-06-01,03:40:00,53.06
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 03:45:00,2025-06-01,03:45:00,53.3
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 03:50:00,2025-06-01,03:50:00,52.55
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 03:55:00,2025-06-01,03:55:00,52.27
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 04:00:00,2025-06-01,04:00:00,52.63
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,2025-06-01 04:05:00,2025-06-01,04:05:00,53.93
