TagName,OccurredOn,Date,Time,Value
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 00:00:00,2025-06-01,00:00:00,633146.68
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 00:05:00,2025-06-01,00:05:00,633151.35
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 00:10:00,2025-06-01,00:10:00,633156.25
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 00:15:00,2025-06-01,00:15:00,633160.51
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 00:20:00,2025-06-01,00:20:00,633165.42
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 00:25:00,2025-06-01,00:25:00,633169.9
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 00:30:00,2025-06-01,00:30:00,633174.84
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 00:35:00,2025-06-01,00:35:00,633179.5
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 00:40:00,2025-06-01,00:40:00,633183.98
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 00:45:00,2025-06-01,00:45:00,633188.46
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 00:50:00,2025-06-01,00:50:00,633192.56
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 00:55:00,2025-06-01,00:55:00,633197.55
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 01:00:00,2025-06-01,01:00:00,633202.21
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 01:05:00,2025-06-01,01:05:00,633207.02
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 01:10:00,2025-06-01,01:10:00,633210.95
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 01:15:00,2025-06-01,01:15:00,633215.66
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 01:20:00,2025-06-01,01:20:00,633220.3
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 01:25:00,2025-06-01,01:25:00,633224.73
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 01:30:00,2025-06-01,01:30:00,633229.32
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 01:35:00,2025-06-01,01:35:00,633233.9
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 01:40:00,2025-06-01,01:40:00,633238.38
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 01:45:00,2025-06-01,01:45:00,633242.74
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 01:50:00,2025-06-01,01:50:00,633247.36
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 01:55:00,2025-06-01,01:55:00,633251.5
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 02:00:00,2025-06-01,02:00:00,633256.12
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 02:05:00,2025-06-01,02:05:00,633260.46
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 02:10:00,2025-06-01,02:10:00,633265.27
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 02:15:00,2025-06-01,02:15:00,633269.41
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 02:20:00,2025-06-01,02:20:00,633274.23
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 02:25:00,2025-06-01,02:25:00,633279.03
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 02:30:00,2025-06-01,02:30:00,633283.17
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 02:35:00,2025-06-01,02:35:00,633287.66
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 02:40:00,2025-06-01,02:40:00,633292.15
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 02:45:00,2025-06-01,02:45:00,633296.63
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 02:50:00,2025-06-01,02:50:00,633301.09
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 02:55:00,2025-06-01,02:55:00,633305.27
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 03:00:00,2025-06-01,03:00:00,633309.42
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 03:05:00,2025-06-01,03:05:00,633313.9
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 03:10:00,2025-06-01,03:10:00,633318.7
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 03:15:00,2025-06-01,03:15:00,633323.5
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 03:20:00,2025-06-01,03:20:00,633327.65
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 03:25:00,2025-06-01,03:25:00,633332.32
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 03:30:00,2025-06-01,03:30:00,633336.62
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 03:35:00,2025-06-01,03:35:00,633340.78
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 03:40:00,2025-06-01,03:40:00,633345.27
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 03:45:00,2025-06-01,03:45:00,633349.74
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 03:50:00,2025-06-01,03:50:00,633354.22
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 03:55:00,2025-06-01,03:55:00,633358.4
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 04:00:00,2025-06-01,04:00:00,633362.26
ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,2025-06-01 04:05:00,2025-06-01,04:05:00,633367.02
