OccurredOn,Date,Time,ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC1_kW,ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC1_kWH,ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kW,ELE-MSB-TWR-B2-LZ1LZ2_HLI_INC2_kWH,ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC1_kW,ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC1_kWH,ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kW,ELE-MSB-TWR-B2-MZ1MZ2_HLI_INC2_kWH,ELE-MSB-TWR-L33-HZ1_HLI_INC_kW,ELE-MSB-TWR-L33-HZ1_HLI_INC_kWH,ELE-MSB-TWR-L33-HZ2_HLI_INC_kW,ELE-MSB-TWR-L33-HZ2_HLI_INC_kWH,ELE-EMSB-TWR-B2-LZE_HLI_INC1_kW,ELE-EMSB-TWR-B2-LZE_HLI_INC1_kWH,ELE-EMSB-TWR-B2-LZE_HLI_INC2_kW,ELE-EMSB-TWR-B2-LZE_HLI_INC2_kWH,ELE-EMSB-TWR-B2-MZE_HLI_INC1_kW,ELE-EMSB-TWR-B2-MZE_HLI_INC1_kWH,ELE-EMSB-TWR-B2-MZE_HLI_INC2_kW,ELE-EMSB-TWR-B2-MZE_HLI_INC2_kWH,ELE-EMSB-TWR-L33-HZE_HLI_INC_kW,ELE-EMSB-TWR-L33-HZE_HLI_INC_kWH
2025-06-01 00:00:00,2025-06-01,00:00:00,103.05,840790.25,42.26,924151.75,43.07,830132.78,58.86,633146.68,0.0,0.0,108.27,806101.02,35.88,791000.95,0.0,0.0,20.69,126876.2,0.0,0.0,29.87,414283.35
2025-06-01 00:05:00,2025-06-01,00:05:00,101.32,840797.79,44.73,924155.35,43.32,830135.87,59.99,633151.35,0.0,0.0,116.7,806110.83,35.51,791003.6,0.0,0.0,21.68,126877.8,0.0,0.0,40.35,414286.34
2025-06-01 00:10:00,2025-06-01,00:10:00,101.74,840806.55,44.28,924158.91,44.37,830139.71,55.96,633156.25,0.0,0.0,74.64,806120.1,35.42,791006.71,0.0,0.0,19.45,126879.4,0.0,0.0,29.39,414289.8
2025-06-01 00:15:00,2025-06-01,00:15:00,101.3,840816.1,43.71,924162.28,43.36,830143.33,58.52,633160.51,0.0,0.0,117.88,806130.22,34.88,791009.42,0.0,0.0,19.98,126881.14,0.0,0.0,38.07,414292.97
2025-06-01 00:20:00,2025-06-01,00:20:00,101.13,840823.66,45.15,924166.37,42.24,830147.18,56.46,633165.42,0.0,0.0,112.97,806139.87,35.56,791012.45,0.0,0.0,19.41,126882.9,0.0,0.0,27.92,414295.5
2025-06-01 00:25:00,2025-06-01,00:25:00,103.2,840831.65,44.91,924169.69,43.5,830150.39,55.41,633169.9,0.0,0.0,110.48,806148.74,35.11,791015.65,0.0,0.0,19.38,126884.4,0.0,0.0,36.96,414297.75
2025-06-01 00:30:00,2025-06-01,00:30:00,105.64,840840.11,43.76,924173.58,44.21,830153.9,54.55,633174.84,0.0,0.0,106.78,806159.52,34.79,791018.42,0.0,0.0,19.38,126885.93,0.0,0.0,27.8,414300.34
2025-06-01 00:35:00,2025-06-01,00:35:00,104.64,840849.57,43.77,924177.14,42.59,830157.85,54.91,633179.5,0.0,0.0,101.46,806166.46,35.23,791021.0,0.0,0.0,19.42,126887.68,0.0,0.0,23.12,414302.33
2025-06-01 00:40:00,2025-06-01,00:40:00,102.88,840858.22,46.11,924181.2,43.66,830161.58,54.74,633183.98,0.0,0.0,106.22,806176.42,35.7,791024.3,0.0,0.0,19.43,126889.3,0.0,0.0,27.42,414304.78
2025-06-01 00:45:00,2025-06-01,00:45:00,105.48,840867.44,43.97,924184.31,42.77,830164.64,53.84,633188.46,0.0,0.0,106.64,806184.88,34.78,791027.0,0.0,0.0,19.67,126890.8,0.0,0.0,27.35,414307.19
2025-06-01 00:50:00,2025-06-01,00:50:00,103.68,840875.01,44.33,924188.14,43.31,830168.47,54.06,633192.56,0.0,0.0,105.1,806194.06,35.14,791029.9,0.0,0.0,19.32,126892.45,0.0,0.0,27.52,414309.42
2025-06-01 00:55:00,2025-06-01,00:55:00,103.1,840884.33,44.91,924192.23,43.4,830172.27,53.67,633197.55,0.0,0.0,104.42,806203.28,35.88,791033.18,0.0,0.0,19.33,126894.13,0.0,0.0,27.13,414311.92
