OccurredOn,Date,Time,LRWS-11-01_SPACE_AIR_CO2,LRWS-11-01_SPACE_AIR_HUMID,LRWS-11-01_SPACE_AIR_PRESSURE,LRWS-11-01_SPACE_AIR_TEMP
2025-10-02 00:00:00,2025-10-02,00:00:00,490.0,71.5,1008.8,23.9
2025-10-02 00:01:00,2025-10-02,00:01:00,490.0,71.5,1008.8,23.9
2025-10-02 00:02:00,2025-10-02,00:02:00,490.0,71.5,1008.8,23.9
2025-10-02 00:03:00,2025-10-02,00:03:00,490.0,71.5,1008.8,23.9
2025-10-02 00:04:00,2025-10-02,00:04:00,490.0,71.5,1008.8,23.9
2025-10-02 00:05:00,2025-10-02,00:05:00,490.0,71.5,1008.8,23.9
2025-10-02 00:06:00,2025-10-02,00:06:00,490.0,71.5,1008.8,23.9
2025-10-02 00:07:00,2025-10-02,00:07:00,490.0,71.5,1008.8,23.9
2025-10-02 00:08:00,2025-10-02,00:08:00,494.0,71.5,1008.6,24.0
2025-10-02 00:09:00,2025-10-02,00:09:00,494.0,71.5,1008.6,24.0
2025-10-02 00:10:00,2025-10-02,00:10:00,494.0,71.5,1008.6,24.0
2025-10-02 00:11:00,2025-10-02,00:11:00,494.0,71.5,1008.6,24.0
2025-10-02 00:12:00,2025-10-02,00:12:00,494.0,71.5,1008.6,24.0
2025-10-02 00:13:00,2025-10-02,00:13:00,494.0,71.5,1008.6,24.0
2025-10-02 00:14:00,2025-10-02,00:14:00,494.0,71.5,1008.6,24.0
2025-10-02 00:15:00,2025-10-02,00:15:00,494.0,71.5,1008.6,24.0
2025-10-02 00:16:00,2025-10-02,00:16:00,494.0,71.5,1008.6,24.0
2025-10-02 00:17:00,2025-10-02,00:17:00,494.0,71.5,1008.6,24.0
2025-10-02 00:18:00,2025-10-02,00:18:00,502.0,72.0,1008.6,24.0
2025-10-02 00:19:00,2025-10-02,00:19:00,502.0,72.0,1008.6,24.0
2025-10-02 00:20:00,2025-10-02,00:20:00,502.0,72.0,1008.6,24.0
2025-10-02 00:21:00,2025-10-02,00:21:00,502.0,72.0,1008.6,24.0
2025-10-02 00:22:00,2025-10-02,00:22:00,502.0,72.0,1008.6,24.0
2025-10-02 00:23:00,2025-10-02,00:23:00,502.0,72.0,1008.6,24.0
2025-10-02 00:24:00,2025-10-02,00:24:00,502.0,72.0,1008.6,24.0
2025-10-02 00:25:00,2025-10-02,00:25:00,502.0,72.0,1008.6,24.0
2025-10-02 00:26:00,2025-10-02,00:26:00,502.0,72.0,1008.6,24.0
2025-10-02 00:27:00,2025-10-02,00:27:00,502.0,72.0,1008.6,24.0
2025-10-02 00:28:00,2025-10-02,00:28:00,507.0,72.0,1008.6,24.0
2025-10-02 00:29:00,2025-10-02,00:29:00,507.0,72.0,1008.6,24.0
2025-10-02 00:30:00,2025-10-02,00:30:00,507.0,72.0,1008.6,24.0
2025-10-02 00:31:00,2025-10-02,00:31:00,507.0,72.0,1008.6,24.0
2025-10-02 00:32:00,2025-10-02,00:32:00,507.0,72.0,1008.6,24.0
2025-10-02 00:33:00,2025-10-02,00:33:00,507.0,72.0,1008.6,24.0
2025-10-02 00:34:00,2025-10-02,00:34:00,507.0,72.0,1008.6,24.0
2025-10-02 00:35:00,2025-10-02,00:35:00,507.0,72.0,1008.6,24.0
2025-10-02 00:36:00,2025-10-02,00:36:00,507.0,72.0,1008.6,24.0
2025-10-02 00:37:00,2025-10-02,00:37:00,507.0,72.0,1008.6,24.0
2025-10-02 00:38:00,2025-10-02,00:38:00,510.0,72.0,1008.6,24.1
